| WARNING | job0 | import.verilog       | 0 | /home/azureuser/btreeBlock/verilog/delete_verilog/1/nano9k/delete_verilog.v:89:133: warning: arithmetic between operands of different types ('reg[2:0]' and 'int') [-Warith-op-mismatch]
| WARNING | job0 | import.verilog       | 0 |             12 : begin bT_StuckSA_Transaction_9[      10/*index   */ +: 3] <= bT_StuckSA_Memory_8[       0/*currentSize     */ +: 3]+-1; /* MemoryLayoutDM.add1 */ step <= step+1; end
| WARNING | job0 | import.verilog       | 0 |                                                                               ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^~~
| WARNING | job0 | import.verilog       | 0 | /home/azureuser/btreeBlock/verilog/delete_verilog/1/nano9k/delete_verilog.v:147:65: warning: implicit conversion truncates from 8 to 5 bits [-Wwidth-trunc]
| WARNING | job0 | import.verilog       | 0 | lT_StuckSA_Transaction_15[      44/*copy_length_keys*/ +: 5] <= lT_StuckSA_Transaction_15[      19/*copyBitsKeys    */ +: 8];
| WARNING | job0 | import.verilog       | 0 |                                                              ~~ ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
| WARNING | job0 | import.verilog       | 0 | /home/azureuser/btreeBlock/verilog/delete_verilog/1/nano9k/delete_verilog.v:152:65: warning: implicit conversion truncates from 7 to 5 bits [-Wwidth-trunc]
| WARNING | job0 | import.verilog       | 0 | lT_StuckSA_Transaction_15[      59/*copy_length_data*/ +: 5] <= lT_StuckSA_Transaction_15[      27/*copyBitsData    */ +: 7];
| WARNING | job0 | import.verilog       | 0 |                                                              ~~ ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
| WARNING | job0 | import.verilog       | 0 | /home/azureuser/btreeBlock/verilog/delete_verilog/1/nano9k/delete_verilog.v:268:65: warning: implicit conversion truncates from 8 to 5 bits [-Wwidth-trunc]
| WARNING | job0 | import.verilog       | 0 | lT_StuckSA_Transaction_15[      44/*copy_length_keys*/ +: 5] <= lT_StuckSA_Transaction_15[      19/*copyBitsKeys    */ +: 8];
