Address  9 BitCode  Action   Constant      Comment
     0:  001011110  constant 94            # 94
     1:  101000000  source   320           # 0
     2:  110000000  target   384           # 0
     3:  111001010  exec     458           # ldrc
     4:  000001101  constant 13            # 13
     5:  101000000  source   320           # 0
     6:  110000000  target   384           # 0
     7:  111001001  exec     457           # label
     8:  000000000  constant 0             # 0
     9:  101000000  source   320           # 0
    10:  110000000  target   384           # 0
    11:  111000101  exec     453           # dec
    12:  000000000  constant 0             # 0
    13:  101000000  source   320           # 0
    14:  110000010  target   386           # 2
    15:  111001100  exec     460           # ldri
    16:  000000000  constant 0             # 0
    17:  101000000  source   320           # 0
    18:  110000000  target   384           # 0
    19:  111000101  exec     453           # dec
    20:  000000000  constant 0             # 0
    21:  101000000  source   320           # 0
    22:  110000001  target   385           # 1
    23:  111001100  exec     460           # ldri
    24:  000000000  constant 0             # 0
    25:  101000010  source   322           # 2
    26:  110000011  target   387           # 3
    27:  111001101  exec     461           # ldrr
    28:  000000101  constant 5             # 5
    29:  101000011  source   323           # 3
    30:  110000000  target   384           # 0
    31:  111010001  exec     465           # sr
    32:  000000000  constant 0             # 0
    33:  101000010  source   322           # 2
    34:  110000100  target   388           # 4
    35:  111001101  exec     461           # ldrr
    36:  000000001  constant 1             # 1
    37:  101000100  source   324           # 4
    38:  110000000  target   384           # 0
    39:  111010001  exec     465           # sr
    40:  000001100  constant 12            # 12
    41:  101000100  source   324           # 4
    42:  110000000  target   384           # 0
    43:  111010000  exec     464           # sl
    44:  000001000  constant 8             # 8
    45:  101000100  source   324           # 4
    46:  110000000  target   384           # 0
    47:  111010001  exec     465           # sr
    48:  000000000  constant 0             # 0
    49:  101000001  source   321           # 1
    50:  110000101  target   389           # 5
    51:  111001101  exec     461           # ldrr
    52:  000000101  constant 5             # 5
    53:  101000101  source   325           # 5
    54:  110000000  target   384           # 0
    55:  111010001  exec     465           # sr
    56:  000000001  constant 1             # 1
    57:  101000101  source   325           # 5
    58:  110000000  target   384           # 0
    59:  111010000  exec     464           # sl
    60:  000000000  constant 0             # 0
    61:  101000101  source   325           # 5
    62:  110000100  target   388           # 4
    63:  111001111  exec     463           # or
    64:  000000000  constant 0             # 0
    65:  101000001  source   321           # 1
    66:  110000101  target   389           # 5
    67:  111001101  exec     461           # ldrr
    68:  000001100  constant 12            # 12
    69:  101000101  source   325           # 5
    70:  110000000  target   384           # 0
    71:  111010000  exec     464           # sl
    72:  000001111  constant 15            # 15
    73:  101000101  source   325           # 5
    74:  110000000  target   384           # 0
    75:  111010001  exec     465           # sr
    76:  000000000  constant 0             # 0
    77:  101000101  source   325           # 5
    78:  110000100  target   388           # 4
    79:  111001111  exec     463           # or
    80:  011111111  constant 255           # 255
    81:  101000000  source   320           # 0
